station_id,name,lat,lon,address,capacity,current
210,335 - General Urquiza,-34.5722,-58.4113,Figueroa Alcorta & Sarmiento,20,1
212,129 - Velasco,-34.6003,-58.4349,J.Ramirez de Velasco 285,20,1
213,136 - Acevedo,-34.5997,-58.4427,Acevedo y Padilla,20,1
215,113 - Guatemala,-34.5859,-58.425,Guatemala 4773,20,1
216,059 - Coronel Diaz,-34.59,-58.4115,Guemes 3330 & Coronel Diaz,20,1
219,140 - Las Casas,-34.636,-58.4156,Metan 3661,23,1
220,097 - Avelino Diaz,-34.6351,-58.4276,Avelino Diaz&Doblas,15,1
222,160 - Godoy Cruz y Libertador,-34.5759,-58.4185,Av. Cerviño 4301,20,1
223,178 - José Marmol,-34.6234,-58.4249,803 José Marmol,16,1
227,188 - Aranguren,-34.6104,-58.4328,Dr. Juan Felipe Aranguren 131,20,1
228,010 - Madero UCA,-34.6165,-58.3657,"1600 Moreau De Justo, Alicia Av.",15,0
229,243 - PLAZOLETA CELEDONIO FLORES,-34.5816,-58.4515,Cordoba 6599,12,1
230,259 - PLAZA CASTELLI,-34.5678,-58.4645,Echeverria 3249,16,1
231,384 - PLAZA BENITO NAZAR,-34.6051,-58.446,VALENTIN VIRASORO 1349,16,1
232,252 - Tamborini,-34.56,-58.4791,Tamborini 3821,20,1
234,344 - UNIVERSIDAD DI TELLA,-34.548,-58.4469,Figueroa Alcorta 7350,20,1
235,281 - Villa Urquiza,-34.5737,-58.4869,Av. Triunvirato 4800,24,1
236,254 - Plaza Rafael Hernandez,-34.5622,-58.4552,Vuelta de Obligado 2004,16,1
237,302 - ESTACION VILLA LURO,-34.6367,-58.5014,Virgilio 90,16,1
239,391 - Plaza República de Ecuador,-34.5653,-58.4206,Av. Pres. Figueroa Alcorta 5201,20,1
241,348 - Villa del Parque,-34.6009,-58.4941,"Gutierrez, Ricardo 3105",12,1
242,103 - MALBA,-34.5769,-58.404,Av. Pres. Figueroa Alcorta 3451,32,1
245,248 - Husares,-34.5526,-58.4429,Husares 2201,16,1
247,282 - Tronador,-34.5839,-58.4665,Triunvirato Av. & Tronador,18,1
248,346 - Plaza Zapiola,-34.5735,-58.4746,2001 Donado,24,1
251,388 - Plaza Jose C Paz,-34.6417,-58.4025,Dr. Prof. Pedro Chutro 2881,12,1
252,331 - CALIFORNIA,-34.6471,-58.3743,California 1774 y General Hornos,23,1
253,383 - BOEDO Y VENEZUELA,-34.6164,-58.4171,BOEDO 339,16,1
254,276 - PRIMERA JUNTA,-34.6208,-58.4414,Av. Rivadavia 5408 ,16,1
255,374 - Puan,-34.6221,-58.4485,Yerbal 1290,20,1
257,264 - Plaza Marcos Sastre,-34.5708,-58.4812,Miller & Monroe,24,1
258,336 - La Pampa,-34.5655,-58.4553,La Pampa 2512 & Ciudad de la Paz,16,1
259,290 - Club Excursionistas,-34.5592,-58.4442,Migueletes 1782 (y La Pampa),16,1
260,371 - Paseo de las Americas,-34.5531,-58.4352,Av. Pres Figueroa Alcorta 6400,12,1
261,272 - Plaza Bruno Giordano,-34.6162,-58.4406,Bruno Giordano&Neuquen,16,1
262,349 - Plaza Saenz Peña,-34.6097,-58.4673,Andrés Lamas 1699,16,1
263,270 - PLAZA DEL ANGEL GRIS,-34.622,-58.4576,Calcena & Avellaneda Av.,20,1
264,283 - BALBIN II,-34.5559,-58.4812,Av. Dr. Ricardo Balbín y Crisólogo Larralde,16,1
265,361 - Plaza Don Segundo Sombra,-34.642,-58.4505,2347 Santander,28,1
267,315 - BEIRO Y SAN MARTÍN,-34.5976,-58.4985,3209 Av. Francisco Beiro,16,1
268,399 - GARCIA DEL RIO,-34.5503,-58.477,Av. García del Río 3182,36,1
269,260 - SAN MIGUEL DE GARICOITS,-34.5773,-58.4578,"Delgado & Loreto, Virrey",18,1
270,370 - Beauchef,-34.6401,-58.4303,1995 Beauchef,28,1
271,365 - Venancio Flores,-34.63,-58.4737,Venancio Flores 3170,20,1
273,223 - GAINZA,-34.6168,-58.4468,"494 Gainza, Martin De, Gral.",16,1
275,256 - PLAZA NORUEGA,-34.5623,-58.4593,Amenabar y Mendoza,20,1
277,292 - PLAZA BOLIVIA,-34.5635,-58.4361,Olleros Av. & Del Libertador Av.,17,1
278,233 - MONROE,-34.5641,-58.4698,2519 Superi,16,1
280,222 - SIMON BOLIVAR,-34.6335,-58.4494,"1701 Fernandez Moreno, Baldomero",28,1
281,350 - Plaza Irlanda,-34.6138,-58.4583,Av. Gaona 2200,24,1
284,229 - RIGLOS,-34.631,-58.4351,1019 Riglos,20,1
289,255 - BARRANCAS DE BELGRANO,-34.5598,-58.4483,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",24,1
291,244 - UADE,-34.6172,-58.3816,Lima 750,16,1
299,221 - CULPINA,-34.6317,-58.4661,Culpina 121,19,1
301,309 - UTN II,-34.6604,-58.4676,Saraza y Mozart,20,1
