station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,status,last_refresh
43,6,0,21,0,2024-09-25 22:17:27,IN_SERVICE,2024-09-26 01:18:16.146525
44,5,0,15,0,2024-09-25 22:16:59,IN_SERVICE,2024-09-26 01:18:16.146525
45,0,1,19,0,2024-09-25 22:16:50,IN_SERVICE,2024-09-26 01:18:16.146525
46,7,1,10,0,2024-09-25 17:06:30,IN_SERVICE,2024-09-26 01:18:16.146525
48,8,6,2,0,2024-09-25 22:16:37,IN_SERVICE,2024-09-26 01:18:16.146525
49,6,7,3,0,2024-09-25 22:14:50,IN_SERVICE,2024-09-26 01:18:16.146525
50,6,7,7,0,2024-09-25 22:15:49,IN_SERVICE,2024-09-26 01:18:16.146525
54,4,10,6,0,2024-09-25 22:17:35,IN_SERVICE,2024-09-26 01:18:16.146525
56,6,2,12,1,2024-09-25 22:17:07,IN_SERVICE,2024-09-26 01:18:16.146525
57,0,0,12,0,2024-09-25 22:16:20,IN_SERVICE,2024-09-26 01:18:16.146525
58,2,1,17,0,2024-09-25 22:16:51,IN_SERVICE,2024-09-26 01:18:16.146525
59,0,4,16,0,2024-09-25 22:17:21,IN_SERVICE,2024-09-26 01:18:16.146525
60,1,1,18,0,2024-09-25 22:15:04,IN_SERVICE,2024-09-26 01:18:16.146525
61,7,1,4,0,2024-09-25 22:15:52,IN_SERVICE,2024-09-26 01:18:16.146525
63,1,1,26,0,2024-09-25 22:14:31,IN_SERVICE,2024-09-26 01:18:16.146525
64,6,2,12,0,2024-09-25 22:14:55,IN_SERVICE,2024-09-26 01:18:16.146525
65,2,2,16,0,2024-09-25 22:15:55,IN_SERVICE,2024-09-26 01:18:16.146525
66,2,1,17,0,2024-09-25 22:15:31,IN_SERVICE,2024-09-26 01:18:16.146525
68,11,0,5,0,2024-09-25 22:10:45,IN_SERVICE,2024-09-26 01:18:16.146525
69,4,5,7,0,2024-09-25 22:15:15,IN_SERVICE,2024-09-26 01:18:16.146525
70,0,0,24,0,2024-09-25 22:16:49,IN_SERVICE,2024-09-26 01:18:16.146525
71,0,3,27,0,2024-09-25 22:17:10,IN_SERVICE,2024-09-26 01:18:16.146525
73,15,3,2,0,2024-09-25 22:16:27,IN_SERVICE,2024-09-26 01:18:16.146525
74,5,1,24,0,2024-09-25 22:15:36,IN_SERVICE,2024-09-26 01:18:16.146525
75,15,1,4,0,2024-09-25 22:15:07,IN_SERVICE,2024-09-26 01:18:16.146525
76,3,4,13,0,2024-09-25 22:17:08,IN_SERVICE,2024-09-26 01:18:16.146525
77,1,2,13,0,2024-09-25 22:17:37,IN_SERVICE,2024-09-26 01:18:16.146525
79,4,2,24,0,2024-09-25 22:17:02,IN_SERVICE,2024-09-26 01:18:16.146525
80,4,1,7,0,2024-09-25 22:15:59,IN_SERVICE,2024-09-26 01:18:16.146525
82,3,2,15,0,2024-09-25 22:16:58,IN_SERVICE,2024-09-26 01:18:16.146525
83,0,2,26,0,2024-09-25 22:15:47,IN_SERVICE,2024-09-26 01:18:16.146525
85,0,2,18,0,2024-09-25 22:17:37,IN_SERVICE,2024-09-26 01:18:16.146525
86,1,2,17,0,2024-09-25 22:16:15,IN_SERVICE,2024-09-26 01:18:16.146525
87,4,1,11,0,2024-09-25 22:14:48,IN_SERVICE,2024-09-26 01:18:16.146525
89,2,3,15,0,2024-09-25 22:15:37,IN_SERVICE,2024-09-26 01:18:16.146525
91,8,0,16,0,2024-09-25 22:16:11,IN_SERVICE,2024-09-26 01:18:16.146525
92,10,1,9,0,2024-09-25 22:15:08,IN_SERVICE,2024-09-26 01:18:16.146525
93,1,1,18,0,2024-09-25 22:15:49,IN_SERVICE,2024-09-26 01:18:16.146525
94,1,0,28,0,2024-09-25 22:15:15,IN_SERVICE,2024-09-26 01:18:16.146525
96,9,2,5,0,2024-09-25 22:14:54,IN_SERVICE,2024-09-26 01:18:16.146525
98,0,2,14,0,2024-09-25 22:17:34,IN_SERVICE,2024-09-26 01:18:16.146525
99,9,2,9,0,2024-09-25 22:17:08,IN_SERVICE,2024-09-26 01:18:16.146525
101,0,3,17,0,2024-09-25 22:15:13,IN_SERVICE,2024-09-26 01:18:16.146525
102,4,1,15,0,2024-09-25 22:17:38,IN_SERVICE,2024-09-26 01:18:16.146525
104,3,1,26,0,2024-09-25 22:14:52,IN_SERVICE,2024-09-26 01:18:16.146525
107,1,0,15,0,2024-09-25 22:15:06,IN_SERVICE,2024-09-26 01:18:16.146525
111,0,4,26,2,2024-09-25 22:17:12,IN_SERVICE,2024-09-26 01:18:16.146525
112,0,3,17,0,2024-09-25 22:14:53,IN_SERVICE,2024-09-26 01:18:16.146525
