station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,is_charging_station,status,is_installed,is_renting,is_returning,traffic,num_bikes_available_types.mechanical,num_bikes_available_types.ebike
188,5,1,18,0,1726438102,False,IN_SERVICE,1,1,1,,5,0
189,9,1,10,0,1726438145,False,IN_SERVICE,1,1,1,,9,0
190,2,1,17,0,1726438183,False,IN_SERVICE,1,1,1,,2,0
191,2,0,14,0,1726438148,False,IN_SERVICE,1,1,1,,2,0
193,1,0,19,0,1726438058,False,IN_SERVICE,1,1,1,,1,0
194,2,2,12,0,1726438092,False,IN_SERVICE,1,1,1,,2,0
196,3,1,16,0,1726438120,False,IN_SERVICE,1,1,1,,3,0
197,13,2,5,0,1726437874,False,IN_SERVICE,1,1,1,,13,0
199,1,0,19,0,1726438227,False,IN_SERVICE,1,1,1,,1,0
200,5,0,11,0,1726438130,False,IN_SERVICE,1,1,1,,5,0
202,24,2,4,0,1726438057,False,IN_SERVICE,1,1,1,,24,0
203,13,1,10,0,1726438152,False,IN_SERVICE,1,1,1,,13,0
204,3,4,17,0,1726438223,False,IN_SERVICE,1,1,1,,3,0
206,2,2,12,0,1726438191,False,IN_SERVICE,1,1,1,,2,0
207,15,1,0,0,1726438177,False,IN_SERVICE,1,1,1,,15,0
208,0,0,20,0,1726438057,False,IN_SERVICE,1,1,1,,0,0
210,8,2,10,1,1726438225,False,IN_SERVICE,1,1,1,,8,0
212,1,1,18,0,1726438085,False,IN_SERVICE,1,1,1,,1,0
213,1,0,19,0,1726438149,False,IN_SERVICE,1,1,1,,1,0
215,0,1,19,0,1726438113,False,IN_SERVICE,1,1,1,,0,0
216,6,0,14,0,1726438203,False,IN_SERVICE,1,1,1,,6,0
219,10,0,13,0,1726438079,False,IN_SERVICE,1,1,1,,10,0
220,7,2,6,0,1726438203,False,IN_SERVICE,1,1,1,,7,0
222,2,0,18,0,1726438120,False,IN_SERVICE,1,1,1,,2,0
223,2,1,13,1,1726438194,False,IN_SERVICE,1,1,1,,2,0
227,8,3,9,0,1726438070,False,IN_SERVICE,1,1,1,,8,0
228,2,0,13,0,1726438123,False,IN_SERVICE,1,1,1,,2,0
229,4,0,8,0,1726438122,False,IN_SERVICE,1,1,1,,4,0
230,10,0,6,0,1726438185,False,IN_SERVICE,1,1,1,,10,0
231,1,2,13,0,1726438226,False,IN_SERVICE,1,1,1,,1,0
232,6,2,12,0,1726438182,False,IN_SERVICE,1,1,1,,6,0
234,18,1,1,0,1726438138,False,IN_SERVICE,1,1,1,,18,0
235,4,1,19,0,1726438200,False,IN_SERVICE,1,1,1,,4,0
236,9,0,7,0,1726438164,False,IN_SERVICE,1,1,1,,9,0
237,9,0,7,0,1726438127,False,IN_SERVICE,1,1,1,,9,0
239,7,1,12,0,1726438100,False,IN_SERVICE,1,1,1,,7,0
241,7,0,5,0,1726438051,False,IN_SERVICE,1,1,1,,7,0
242,15,2,15,0,1726438057,False,IN_SERVICE,1,1,1,,15,0
245,14,2,0,0,1726438200,False,IN_SERVICE,1,1,1,,14,0
247,7,0,11,0,1726438203,False,IN_SERVICE,1,1,1,,7,0
248,4,0,20,0,1726438211,False,IN_SERVICE,1,1,1,,4,0
251,5,0,7,0,1726438167,False,IN_SERVICE,1,1,1,,5,0
252,9,0,12,0,1726438102,False,IN_SERVICE,1,1,1,,9,0
253,0,2,14,0,1726438059,False,IN_SERVICE,1,1,1,,0,0
254,2,1,13,0,1726438107,False,IN_SERVICE,1,1,1,,2,0
255,7,0,13,0,1726438194,False,IN_SERVICE,1,1,1,,7,0
257,4,0,20,0,1726438073,False,IN_SERVICE,1,1,1,,4,0
258,9,0,7,0,1726438138,False,IN_SERVICE,1,1,1,,9,0
