station_id,name,lat,lon,address,capacity,start_date,end_date,current
179,179 - CASA SAN,-34.6384786,-58.3642885,Olavarría 811,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.131481,0
181,181 - BILLINGHURST Y MANSILLA,-34.5926649,-58.4120072,"1520 Billinghurst & Mansilla, Lucio Norberto, General",19,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.131481,0
182,182 - RAVIGNANI Y GUATEMALA,-34.5780479,-58.4352466,"2185 Ravignani, Emilio, Dr. & Guatemala",20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.131481,0
183,183 - VIRREY CEVALLOS,-34.6156994,-58.3899728,Mexico 1652,28,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.131481,0
184,184 - Pedro Echague,-34.6306129,-58.3913419,Pedro Echague 1878 & Combate De Los Pozos,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.131481,0
186,186 - MANZANA 66,-34.6136356,-58.4064415,2875 Moreno,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.131481,0
187,261 - QUINTEROS LIDORO,-34.552571,-58.450897,"1483 Quinteros, Lidoro J. Av.",16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.131481,0
188,373 - Jorgelina De Simone,-34.62393,-58.39125,Cochabamba 1799,24,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.131481,0
189,189 - POSADAS,-34.5886889,-58.3852113,1350 Posadas,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.131481,0
190,190 - JUNCAL,-34.5850763,-58.4111136,"Juncal & Salguero, Jeronimo",20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.131481,0
191,191 - Rivadavia y 9 de Julio,-34.6079305,-58.3808358,Pellegrini Y Rivadavia Av.,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.131481,0
193,193 - ARENALES Y AGUERO,-34.5908626,-58.4061652,Arenales y Aguero,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.131481,0
194,194 - PERÓN Y ACUÑA DE FIGUEROA,-34.6060758,-58.4224635,3997 TTE. GENERAL JUAN DOMINGO PERON,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.131481,0
196,196 - HOSPITAL ARGERICH,-34.6277671,-58.36602490000001,750 Pi y Margall,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.147082,0
197,197 - PLAZA CIUDAD DE UDINE,-34.620998,-58.493044,Mercedes 1480,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.147821,0
199,199 - ESTADOS UNIDOS Y BOEDO,-34.6222601,-58.4160137,3568 Estados Unidos & Boedo Av.,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.147821,0
200,200 - AUSTRIA Y FRENCH,-34.5882997,-58.4042608,Austria 2075,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.147821,0
202,001 - FACULTAD DE DERECHO,-34.583749,-58.390602,Av. Pres. Figueroa Alcorta 2120,29,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.147821,0
203,108 - Usina del Arte,-34.628757,-58.356259,"Caffarena, Agustin R. & Don Pedro De Mendoza Av.",24,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.147821,0
204,167 - Hipólito Yrigoyen,-34.614948,-58.427818,"4300 Yrigoyen, Hipolito Av.",24,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.147821,0
206,159 - Fitz Roy & Gorriti,-34.58495,-58.437339,Fitz Roy & Gorriti,14,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.147821,0
207,123 - BASUALDO Y RODO,-34.65237685302847,-58.48735935690687,Guardia Nacional 1700,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.147821,0
208,145 - RAVIGNANI,-34.5807161,-58.43840400000001,EMILIO RAVIGNANI 1802,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.147821,0
