station_id,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,is_charging_station,rental_methods,groups,obcn,short_name,nearby_distance,_ride_code_support,cross_street
76,076 - Ayacucho,SMARTLITMAPFRAME,-34.6074,-58.3951,0.0,"Ayacucho &Peron, Juan Domingo, Tte. General",11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BALVANERA'],,,1000.0,True,
77,109 - ESTACION PUEYRREDON,SMARTLITMAPFRAME,-34.5811,-58.5015,,Bolivia 5071,1111,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['VILLA PUYRREDON'],,,1000.0,True,Bolivia 5071
79,079 - AZUCENA VILLAFLOR,SMARTLITMAPFRAME,-34.6119,-58.3639,,"Villaflor, Azucena & Dealessi, Pierina",C1107CID,30,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PUERTO MADERO'],,,1609.34,True,"Villaflor, Azucena & Dealessi, Pierina"
80,080 - VALLE,SMARTLITMAPFRAME,-34.6246,-58.4341,,Valle 486,C1424,12,False,"['KEY', 'TRANSITCARD', 'PHONE']",['CABALLITO'],,,1000.0,True,
82,082 - HOSPITAL ITALIANO,SMARTLITMAPFRAME,-34.6079,-58.4264,,394 Rawson & Potosi,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['ALMAGRO'],,,1000.0,True,
83,083 - Paraná,SMARTLITMAPFRAME,-34.6033,-58.3894,,1590 Lavalle,11111,28,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,,1000.0,True,Lavalle & Montevideo
85,085 - AGUERO,SMARTLITMAPFRAME,-34.5948,-58.4092,,"Aguero & Mansilla, Lucio Norberto, General",11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RECOLETA'],,,1000.0,True,"Aguero & Mansilla, Lucio Norberto, General"
86,086 - SAAVEDRA,SMARTLITMAPFRAME,-34.6213,-58.4017,,1019 Saavedra,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN CRISTOBAL'],,,1000.0,True,"1019 Saavedra & Calvo, Carlos"
87,087 - Guayaquil,SMARTLITMAPFRAME,-34.6198,-58.4315,0.0,Guayaquil & Doblas,1111,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['CABALLITO'],,,1000.0,True,
89,089 - Cabello,SMARTLITMAPFRAME,-34.5825,-58.4057,,3082 Cabello,1111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,,1000.0,True,
91,091 - Pasco,SMARTLITMAPFRAME,-34.6174,-58.3976,0.0,708 Pasco & Chile,1111,24,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BALVANERA'],,,1000.0,True,
92,092 - Salcedo,SMARTLITMAPFRAME,-34.6316,-58.4053,0.0,2908 Salcedo & Dean Funes,111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PARQUE PATRICIOS'],,,1000.0,True,
93,093 - CARLOS CALVO,SMARTLITMAPFRAME,-34.6208,-58.3945,,Sarandi 1010,1111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN CRISTOBAL'],,,1000.0,True,"1010 Sarandi & Calvo, Carlos"
94,094 - GÚZMAN,SMARTLITMAPFRAME,-34.5915,-58.4497,,Av Guzman 129 & Leiva,1111,29,False,"['KEY', 'TRANSITCARD', 'PHONE']",['ZONA 1'],,,1000.0,True,
96,096 - Carlos Gardel,SMARTLITMAPFRAME,-34.6028,-58.4117,0.0,3302 Guardia Vieja & Aguero,11111,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BALVANERA'],,,1000.0,True,
98,037- Claudia Pía Baudracco,SMARTLITMAPFRAME,-34.6082,-58.3779,0.0,Esmeralda y Rivadavia,11111,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['MONSERRAT'],,,1609.34,True,
99,099 - Malabia,SMARTLITMAPFRAME,-34.5961,-58.4354,0.0,780 Malabia & Loyola,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['VILLA CRESPO'],,,1000.0,True,
101,101 - Fitz Roy,SMARTLITMAPFRAME,-34.5892,-58.4424,0.0,Fitz Roy  1092 & Loyola,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['ZONA 1'],,,1000.0,True,
102,102 - ROSETI,SMARTLITMAPFRAME,-34.5851,-58.4493,,ROSETI 390,C1427,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['ZONA 1'],,,1000.0,True,
104,104 - Federico Lacroze,SMARTLITMAPFRAME,-34.5876,-58.4552,0.0,Av. Guzman 1100 & Av. Corrientes,111111,30,False,"['KEY', 'TRANSITCARD', 'PHONE']",['ZONA 1'],,,1000.0,True,
107,107 - HOSPITAL GARRAHAN,SMARTLITMAPFRAME,-34.6304,-58.3958,,Brasil 2290,1260,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PARQUE PATRICIOS'],,,1000.0,True,Brasil & Pichincha
111,111 - MACACHA GUEMES,SMARTLITMAPFRAME,-34.6055,-58.3647,,Macacha Guemes 350,1111,30,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PUERTO MADERO'],,,1609.34,True,Macacha Guemes 350 &Pierina Dealessi
112,112 - 9 de Julio,SMARTLITMAPFRAME,-34.6121,-58.3804,,Bernardo Irigoyen 320,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['MONSERRAT'],,,1609.34,True,Bernardo Irigoyen 320 & Moreno
114,114 - TORRE MACRO,SMARTLITMAPFRAME,-34.594,-58.3714,, Av. Eduardo Madero 1180,11111,12,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RETIRO'],,,1609.34,True, Av. Eduardo Madero 1180
116,116 - HOSPITAL ALEMÁN,SMARTLITMAPFRAME,-34.5922,-58.4026,,Beruti & Ecuador,1111,12,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RECOLETA'],,,1000.0,True,Beruti & Ecuador
117,117 - HUMBERTO 1°,SMARTLITMAPFRAME,-34.6196,-58.3732,,Av. Carlos Calvo 513,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN TELMO'],,,1000.0,True,Peru  1016& Carlos Calvo
118,118 - MEXICO,SMARTLITMAPFRAME,-34.617,-58.4027,,Saavedra & Mexico,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BALVANERA'],,,1000.0,True,Saavedra & Mexico
120,120 - HOSPITAL RAMOS MEJIA,SMARTLITMAPFRAME,-34.6175,-58.4093,,3084 Agrelo,1111,19,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BALVANERA'],,,1000.0,True,3084 Agrelo & Urquiza
121,121 - YATAY,SMARTLITMAPFRAME,-34.6012,-58.4285,,925 Yatay& Humahuaca,1111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['ALMAGRO'],,,1000.0,True,925 Yatay& Humahuaca
122,122 - COSTA RICA,SMARTLITMAPFRAME,-34.5916,-58.4198,,COSTA RICA 4060,C1176,24,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,,1000.0,True,COSTA RICA 4060
124,124 - UGARTECHE,SMARTLITMAPFRAME,-34.5805,-58.412,,3050 Ugarteche,C3123,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,,1000.0,True,3050 Ugarteche & Cabello
126,126 - Ministerio de Justicia y Seguridad,SMARTLITMAPFRAME,-34.6392,-58.3696,,Olavarría 1201,C1267,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BOCA'],,,1000.0,True,
128,128 - PARQUE DEL BAJO,SMARTLITMAPFRAME,-34.6052,-58.3688,,Tte. Gral. Juan Domingo Perón 133,1111,28,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,,1000.0,True,"Madero, Eduardo Av. & Peron, Juan Domingo, Tte. General"
130,130 - RETIRO II,SMARTLITMAPFRAME,-34.5917,-58.3744,,Av. Dr. José María Ramos Mejía 1350,1111,40,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RETIRO'],130,130,1609.34,True,"Ramos Mejia, Av Dr Jose Maria Vargas& Av. Del Libertador"
131,131- HOSPITAL DE CLÍNICAS,SMARTLITMAPFRAME,-34.5984,-58.399,,"Uriburu Jose E., Pres. & Paraguay",1111,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RECOLETA'],,,1000.0,True,"Uriburu Jose E., Pres. & Paraguay"
132,132 - CORRIENTES,SMARTLITMAPFRAME,-34.6034,-58.3728,,Reconquista & Corrientes Av.,1111,12,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,,1000.0,True,Reconquista & Corrientes Av.
134,134 - SOLDADO DE LA FRONTERA,SMARTLITMAPFRAME,-34.6832,-58.469,,Ana Díaz 5899,C1439,12,False,"['KEY', 'TRANSITCARD', 'PHONE']",['VILLA LUGANO'],,,1000.0,True,.
135,135 - MARCELO T. DE ALVEAR,SMARTLITMAPFRAME,-34.5976,-58.3784,,Esmeralda & Paraguay,C1057,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,,1000.0,True,Esmeralda & Paraguay 
137,137 - AZOPARDO Y CHILE,SMARTLITMAPFRAME,-34.6156,-58.3675,,AZOPARDO 700,1111,24,False,"['KEY', 'TRANSITCARD', 'PHONE']",['MONSERRAT'],,,1609.34,True,AZOPARDO 700 & AV CHILE
138,138 - Hospital Britanico,SMARTLITMAPFRAME,-34.6354,-58.3877,,153 Perdriel,1111,12,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BARRACAS'],,,1000.0,True,
144,144 - PUEYRREDÓN,SMARTLITMAPFRAME,-34.6019,-58.4061,,684 Boulogne Sur Mer & Tucuman,1111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BALVANERA'],,,1000.0,True,684 Boulogne Sur Mer & Tucuman
146,146 - Hospital Francés,SMARTLITMAPFRAME,-34.6221,-58.4078,,"3024 Calvo, Carlos",1111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN CRISTOBAL'],,,1000.0,True,"3024 Calvo, Carlos & La Rioja"
148,323 - Parque Avellaneda II,SMARTLITMAPFRAME,-34.6452,-58.4846,,Av. Directorio 4295 ,1111,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PARQUE AVELLANEDA'],,,1000.0,True,
149,149 - LIMA,SMARTLITMAPFRAME,-34.6153,-58.3814,,México & Lima,11111,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['MONSERRAT'],,,1609.34,True,México & Lima
150,150 - RODRIGO BUENO,SMARTLITMAPFRAME,-34.6188,-58.3555,,Av. España 2200,1111,36,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PUERTO MADERO'],,,1609.34,True,Av. España y Rodrigo Bueno
152,152 - JULIETA LANTERI,SMARTLITMAPFRAME,-34.6182,-58.3596,,"Vera Peñaloza, Rosario 599 & Lanteri Julieta",11111,28,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PUERTO MADERO'],,,1609.34,True,"Vera Peñaloza, Rosario & Lanteri Julieta"
153,153 - JUAN MANUEL DE BLANES,SMARTLITMAPFRAME,-34.631,-58.3629,,Av. Almirante Brown 653,C1155,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BOCA'],,,1000.0,True,
