station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,is_charging_station,status,is_installed,is_renting,is_returning,traffic,num_bikes_available_types.mechanical,num_bikes_available_types.ebike
379,14,0,6,0,1729015159,False,IN_SERVICE,1,1,1,,14,0
381,1,2,13,0,1729015159,False,IN_SERVICE,1,1,1,,1,0
382,4,0,13,0,1729015240,False,IN_SERVICE,1,1,1,,4,0
383,1,0,19,0,1729015158,False,IN_SERVICE,1,1,1,,1,0
384,11,1,6,0,1729015095,False,IN_SERVICE,1,1,1,,11,0
385,1,4,10,0,1729015152,False,IN_SERVICE,1,1,1,,1,0
386,1,0,7,0,1729014108,False,IN_SERVICE,1,1,1,,1,0
387,9,2,5,0,1729015114,False,IN_SERVICE,1,1,1,,9,0
392,7,0,9,0,1729015126,False,IN_SERVICE,1,1,1,,7,0
393,20,2,6,0,1729015155,False,IN_SERVICE,1,1,1,,20,0
395,7,2,7,0,1729015186,False,IN_SERVICE,1,1,1,,7,0
400,10,1,9,0,1728973677,False,IN_SERVICE,1,1,1,,10,0
403,28,1,3,1,1728968625,False,IN_SERVICE,1,1,1,,28,0
407,10,2,4,0,1729015188,False,IN_SERVICE,1,1,1,,10,0
408,12,2,2,0,1729015193,False,IN_SERVICE,1,1,1,,12,0
412,1,1,10,0,1729015225,False,IN_SERVICE,1,1,1,,1,0
413,5,0,3,0,1729015102,False,IN_SERVICE,1,1,1,,5,0
414,7,1,8,0,1729015240,False,IN_SERVICE,1,1,1,,7,0
416,3,0,24,0,1729015193,False,IN_SERVICE,1,1,1,,3,0
417,3,1,16,0,1729015226,False,IN_SERVICE,1,1,1,,3,0
418,5,0,11,0,1729015179,False,IN_SERVICE,1,1,1,,5,0
420,7,1,8,0,1729015185,False,IN_SERVICE,1,1,1,,7,0
422,10,0,6,0,1729015158,False,IN_SERVICE,1,1,1,,10,0
423,2,1,9,0,1729015173,False,IN_SERVICE,1,1,1,,2,0
424,12,0,0,0,1729015158,False,IN_SERVICE,1,1,1,,12,0
425,20,0,0,0,1728991933,False,IN_SERVICE,1,1,1,,20,0
426,2,1,17,0,1729015076,False,IN_SERVICE,1,1,1,,2,0
427,6,0,10,0,1729015187,False,IN_SERVICE,1,1,1,,6,0
428,10,2,8,0,1729008003,False,IN_SERVICE,1,1,1,,10,0
429,5,2,9,1,1729015078,False,IN_SERVICE,1,1,1,,5,0
431,14,2,4,0,1729008256,False,IN_SERVICE,1,1,1,,14,0
432,4,0,24,0,1729015156,False,IN_SERVICE,1,1,1,,4,0
433,2,0,22,0,1729015219,False,IN_SERVICE,1,1,1,,2,0
434,1,2,17,0,1729015116,False,IN_SERVICE,1,1,1,,1,0
435,3,2,19,0,1729015137,False,IN_SERVICE,1,1,1,,3,0
436,3,3,8,0,1729015094,False,IN_SERVICE,1,1,1,,3,0
440,14,1,1,0,1729015113,False,IN_SERVICE,1,1,1,,14,0
441,1,4,15,0,1729015216,False,IN_SERVICE,1,1,1,,1,0
444,1,1,22,1,1729015194,False,IN_SERVICE,1,1,1,,1,0
448,18,10,4,0,1729015185,False,IN_SERVICE,1,1,1,,18,0
449,0,3,21,0,1729015193,False,IN_SERVICE,1,1,1,,0,0
453,3,1,16,1,1729015083,False,IN_SERVICE,1,1,1,,3,0
454,2,1,9,0,1729015134,False,IN_SERVICE,1,1,1,,2,0
455,4,1,11,0,1729015088,False,IN_SERVICE,1,1,1,,4,0
457,9,0,7,0,1729015222,False,IN_SERVICE,1,1,1,,9,0
458,3,2,22,0,1729015145,False,IN_SERVICE,1,1,1,,3,0
460,3,1,12,0,1729015103,False,IN_SERVICE,1,1,1,,3,0
461,2,2,16,0,1729015112,False,IN_SERVICE,1,1,1,,2,0
464,23,3,2,0,1729015148,False,IN_SERVICE,1,1,1,,23,0
465,4,1,7,0,1728959310,False,IN_SERVICE,1,1,1,,4,0
466,5,4,11,0,1729015098,False,IN_SERVICE,1,1,1,,5,0
468,2,0,6,0,1729015188,False,IN_SERVICE,1,1,1,,2,0
469,4,1,11,0,1728988986,False,IN_SERVICE,1,1,1,,4,0
471,0,3,9,0,1729015212,False,IN_SERVICE,1,1,1,,0,0
